service,port,transport
entrust-kmsh,709,tcp
entrust-ash,710,tcp
cisco-tdp,711,tcp
tbrpf,712,tcp
iris-xpc,713,tcp
iris-xpcs,714,tcp
iris-lwz,715,tcp
netviewdm1,729,tcp
netviewdm2,730,tcp
netviewdm3,731,tcp
netgw,741,tcp
netrcs,742,tcp
flexlm,744,tcp
fujitsu-dev,747,tcp
ris-cm,748,tcp
kerberos-adm,749,tcp
rfile,750,tcp
pump,751,tcp
qrh,752,tcp
rrh,753,tcp
tell,754,tcp
nlogin,758,tcp
con,759,tcp
ns,760,tcp
rxe,761,tcp
quotad,762,tcp
cycleserv,763,tcp
omserv,764,tcp
webster,765,tcp
phonebook,767,tcp
vid,769,tcp
cadlock,770,tcp
rtip,771,tcp
cycleserv2,772,tcp
submit,773,tcp
rpasswd,774,tcp
entomb,775,tcp
wpages,776,tcp
multiling-http,777,tcp
wpgs,780,tcp
mdbs-daemon,800,tcp
device,801,tcp
mbap-s,802,tcp
fcp-udp,810,tcp
itm-mcell-s,828,tcp
pkix-3-ca-ra,829,tcp
netconf-ssh,830,tcp
dhcp-failover2,847,tcp
gdoi,848,tcp
domain-s,853,tcp
dlep,854,tcp
iscsi,860,tcp
owamp-control,861,tcp
twamp-control,862,tcp
rsync,873,tcp
iclcnet-locate,886,tcp
iclcnet-svinfo,887,tcp
accessbuilder,888,tcp
omginitialrefs,900,tcp
smpnameres,901,tcp
ideafarm-door,902,tcp
ideafarm-panic,903,tcp
kink,910,tcp
xact-backup,911,tcp
apex-mesh,912,tcp
apex-edge,913,tcp
rndc,953,tcp
ftps-data,989,tcp
ftps,990,tcp
nas,991,tcp
telnets,992,tcp
imaps,993,tcp
pop3s,995,tcp
vsinet,996,tcp
maitrd,997,tcp
busboy,998,tcp
garcon,999,tcp
cadlock2,1000,tcp
webpush,1001,tcp
surf,1010,tcp
exp1,1021,tcp
exp2,1022,tcp
blackjack,1025,tcp
cap,1026,tcp
solid-mux,1029,tcp
netinfo-local,1033,tcp
activesync,1034,tcp
mxxrlogin,1035,tcp
nsstp,1036,tcp
ams,1037,tcp
mtqp,1038,tcp
sbl,1039,tcp
netarx,1040,tcp
danf-ak2,1041,tcp
afrog,1042,tcp
boinc-client,1043,tcp
dcutility,1044,tcp
fpitp,1045,tcp
wfremotertm,1046,tcp
neod1,1047,tcp
neod2,1048,tcp
td-postman,1049,tcp
cma,1050,tcp
optima-vnet,1051,tcp
ddt,1052,tcp
remote-as,1053,tcp
brvread,1054,tcp
ansyslmd,1055,tcp
vfo,1056,tcp
startron,1057,tcp
nim,1058,tcp
nimreg,1059,tcp
polestar,1060,tcp
kiosk,1061,tcp
veracity,1062,tcp
kyoceranetdev,1063,tcp
jstel,1064,tcp
syscomlan,1065,tcp
fpo-fns,1066,tcp
instl-boots,1067,tcp
instl-bootc,1068,tcp
cognex-insight,1069,tcp
gmrupdateserv,1070,tcp
bsquare-voip,1071,tcp
cardax,1072,tcp
